Subject,CatNbr,Course Title,Sect,Type,Location,Summer 2019,Fall 2019,Spring 2020,Summer 2020,Fall 2020,Spring 2021,Summer 2021,Fall 2021,Spring 2022,Summer 2022,Fall 2022,Spring 2023,Summer 2023,Fall 2023,Spring 2024,Summer 2024,Fall 2024
BISC,298,Introduction to Undergraduate,D012,LAB,BURNABY,,,,,,,,,,,,,,,,5.0,
BISC,298,Introduction to Undergraduate,D100,IND,BURNABY,,,,,,,,20.0,,,,,,,,,
BISC,298,Introduction to Undergraduate,D100,LAB,BURNABY,20.0,20.0,20.0,20.0,,20.0,20.0,,,20.0,20.0,20.0,20.0,20.0,20.0,,
BISC,298,Introduction to Undergraduate,D200,LAB,BURNABY,,,,,,,,,,,,,,,5.0,,
BISC,298,Introduction to Undergraduate,D300,LAB,BURNABY,,,,,,,,,,,,,,,5.0,,
BISC,300,Evolution,D100,LEC,BURNABY,120.0,140.0,100.0,80.0,81.0,100.0,80.0,68.0,140.0,100.0,120.0,120.0,100.0,65.0,100.0,100.0,80.0
BISC,302W,Genetic Analysis,D100,LEC,BURNABY,,,72.0,,,96.0,,,96.0,,,96.0,,,96.0,,
BISC,303,Microbiology,D100,LEC,BURNABY,90.0,90.0,90.0,,51.0,,51.0,72.0,,90.0,90.0,,90.0,90.0,,90.0,90.0
BISC,305,Animal Physiology,B100,OLC,BURNABY,,,,,,,,,,80.0,,,,,,,
BISC,305,Animal Physiology,D100,LEC,BURNABY,80.0,140.0,,60.0,120.0,,90.0,,,,,,66.0,,,72.0,
BISC,306,Invertebrate Biology,D100,LEC,BURNABY,,,36.0,,,,,,69.0,,,66.0,,,69.0,,
BISC,308,EnviroTox: Ecology,D100,LEC,BURNABY,,100.0,,,100.0,,,,,,100.0,,,96.0,,,94.0
BISC,309,Conservation Biology,D100,LEC,BURNABY,,,57.0,,,57.0,,,57.0,,,57.0,,,57.0,,
BISC,313,EnviroTox: Mechanisms,D100,LEC,BURNABY,,,115.0,,,112.0,,,112.0,,,96.0,,,96.0,,
BISC,316,Vertebrate Biology,D100,LEC,BURNABY,90.0,115.0,,,120.0,,48.0,72.0,,96.0,90.0,,90.0,90.0,,90.0,90.0
BISC,316,Vertebrate Biology,D200,LEC,BURNABY,,,,135.0,,,,,,,,,,,,,
BISC,317,Insect Biology,D100,LEC,BURNABY,,48.0,,,,40.0,,48.0,,,48.0,,,48.0,,,48.0
BISC,318,Parasitology,D100,LEC,BURNABY,,,,,,40.0,,,72.0,,,72.0,,,72.0,,
BISC,326,Biol. Algae/Fungi,D100,LEC,BURNABY,,50.0,,,50.0,,,50.0,,,50.0,,,,,,
BISC,327,Algae,D100,LEC,BURNABY,,,,,,,,,,,,,,48.0,,,
BISC,328,Fungi,D100,LEC,BURNABY,,,,,,,,,,,,,,,,,60.0
BISC,333,Developmental Bio.,D100,LEC,BURNABY,,100.0,115.0,,92.0,120.0,,100.0,168.0,,96.0,120.0,,112.0,115.0,92.0,112.0
BISC,337,Plant Biology,D100,LEC,BURNABY,60.0,,60.0,,,51.0,,,60.0,,,60.0,,,60.0,,
BISC,341,Practicum I,D100,COP,BURNABY,,,,,,20.0,40.0,40.0,20.0,20.0,50.0,20.0,20.0,50.0,20.0,20.0,50.0
BISC,341,Practicum I,D100,SEC,BURNABY,20.0,20.0,20.0,20.0,20.0,,,,,,,,,,,,
BISC,341,Practicum I,D200,COP,OFF,,,,,,5.0,10.0,10.0,,5.0,10.0,,5.0,,5.0,5.0,
BISC,341,Practicum I,D200,SEC,OFF,5.0,,,5.0,,,,,,,,,,,,,
BISC,341,Practicum I,I100,COP,OFF,,,,,,,,5.0,,,,,,,,,
BISC,341,Practicum I,I100,SEC,OFF,,5.0,5.0,,,,,,,,,,,,,,
BISC,342,Practicum II,D100,COP,BURNABY,,,,,,20.0,40.0,40.0,20.0,20.0,50.0,20.0,20.0,50.0,20.0,20.0,50.0
BISC,342,Practicum II,D100,SEC,BURNABY,20.0,20.0,20.0,20.0,20.0,,,,,,,,,,,,
BISC,342,Practicum II,D200,COP,OFF,,,,,,,10.0,,,5.0,10.0,5.0,,,,5.0,
BISC,342,Practicum II,D200,SEC,OFF,5.0,,5.0,,5.0,,,,,,,,,,,,
BISC,342,Practicum II,I100,COP,OFF,,,,,,,,5.0,,,,,,,,,
BISC,357,Genetic Engineering,D100,LEC,BURNABY,,96.0,,,72.0,,,48.0,,,96.0,,,96.0,,,96.0
BISC,360W,Techniques in Ecol & Evo,D100,LEC,BURNABY,,54.0,,,40.0,,,52.0,,,78.0,,,52.0,,,52.0
